GeneID:ENTREZ_ID	XB-GENE-XB_GENE_ID
GeneID:100486441	XB-GENE-29078343
GeneID:100486443	XB-GENE-29078347
GeneID:100486462	XB-GENE-29078351
GeneID:100486474	XB-GENE-29078355
GeneID:100486478	XB-GENE-29078359
GeneID:100486481	XB-GENE-29078363
GeneID:100486484	XB-GENE-29078367
GeneID:100486498	XB-GENE-29078371
GeneID:100486501	XB-GENE-29078375
GeneID:100486511	XB-GENE-29078379
GeneID:100486529	XB-GENE-29078383
GeneID:100486532	XB-GENE-29078387
GeneID:100486535	XB-GENE-29078391
GeneID:100486548	XB-GENE-29078395
GeneID:100486572	XB-GENE-29078399
GeneID:100486580	XB-GENE-29078403
GeneID:100486588	XB-GENE-29078407
GeneID:100486598	XB-GENE-29078411
GeneID:100486607	XB-GENE-29078415
GeneID:100486623	XB-GENE-29078419
GeneID:100486631	XB-GENE-29078423
GeneID:100486632	XB-GENE-29078427
GeneID:100486641	XB-GENE-29078431
GeneID:100486653	XB-GENE-29078435
GeneID:100486672	XB-GENE-29078439
GeneID:100486691	XB-GENE-29078443
GeneID:100486692	XB-GENE-29078447
GeneID:100486694	XB-GENE-29078451
GeneID:100486697	XB-GENE-29078455
GeneID:100486730	XB-GENE-29078459
GeneID:100486737	XB-GENE-29078463
GeneID:100486739	XB-GENE-29078467
GeneID:100486753	XB-GENE-29078471
GeneID:100486763	XB-GENE-29078475
GeneID:100486764	XB-GENE-29078479
GeneID:100486773	XB-GENE-29078483
GeneID:100486775	XB-GENE-29078487
GeneID:100486784	XB-GENE-29078491
GeneID:100486793	XB-GENE-29078495
GeneID:100486831	XB-GENE-29078499
GeneID:100486832	XB-GENE-29078503
GeneID:100486839	XB-GENE-29078507
GeneID:100486856	XB-GENE-29078511
GeneID:100486867	XB-GENE-29078515
GeneID:100486870	XB-GENE-29078519
GeneID:100486894	XB-GENE-29078523
GeneID:100486896	XB-GENE-29078527
GeneID:100486900	XB-GENE-29078531
GeneID:100486901	XB-GENE-29078535
GeneID:100486915	XB-GENE-29078539
GeneID:100486918	XB-GENE-29078543
GeneID:100486922	XB-GENE-29078547
GeneID:100486940	XB-GENE-29078551
GeneID:100486944	XB-GENE-29078555
GeneID:100486950	XB-GENE-29078559
GeneID:100486951	XB-GENE-29078563
GeneID:100486952	XB-GENE-29078567
GeneID:100486954	XB-GENE-29078571
GeneID:100486956	XB-GENE-29078575
GeneID:100486969	XB-GENE-29078579
GeneID:100486975	XB-GENE-29078583
GeneID:100486992	XB-GENE-29078587
GeneID:100487005	XB-GENE-29078591
GeneID:100487008	XB-GENE-29078595
GeneID:100487011	XB-GENE-29078599
GeneID:100487054	XB-GENE-29078603
GeneID:100487067	XB-GENE-29078607
GeneID:100487072	XB-GENE-29078611
GeneID:100487093	XB-GENE-29078615
GeneID:100487103	XB-GENE-29078619
GeneID:100487106	XB-GENE-29078623
GeneID:100487110	XB-GENE-29078627
GeneID:100487148	XB-GENE-29078631
GeneID:100487159	XB-GENE-29078635
GeneID:100487167	XB-GENE-29078639
GeneID:100487169	XB-GENE-29078643
GeneID:100487171	XB-GENE-29078647
GeneID:100487186	XB-GENE-29078651
GeneID:100487198	XB-GENE-29078655
GeneID:100487203	XB-GENE-29078659
GeneID:100487218	XB-GENE-29078663
GeneID:100487238	XB-GENE-29078667
GeneID:100487239	XB-GENE-29078671
GeneID:100487252	XB-GENE-29078675
GeneID:100487261	XB-GENE-29078679
GeneID:100487262	XB-GENE-29078683
GeneID:100487264	XB-GENE-29078687
GeneID:100487273	XB-GENE-29078691
GeneID:100487275	XB-GENE-29078695
GeneID:100487277	XB-GENE-29078699
GeneID:100487305	XB-GENE-29078703
GeneID:100487313	XB-GENE-29078707
GeneID:100487319	XB-GENE-29078711
GeneID:100487329	XB-GENE-29078715
GeneID:100487334	XB-GENE-29078719
GeneID:100487354	XB-GENE-29078723
GeneID:100487361	XB-GENE-29078727
GeneID:100487362	XB-GENE-29078731
GeneID:100487369	XB-GENE-29078735
GeneID:100487379	XB-GENE-29078739
GeneID:100487393	XB-GENE-29078743
GeneID:100487398	XB-GENE-29078747
GeneID:100487399	XB-GENE-29078751
GeneID:100487412	XB-GENE-29078755
GeneID:100487424	XB-GENE-29078759
GeneID:100487425	XB-GENE-29078763
GeneID:100487426	XB-GENE-29078767
GeneID:100487439	XB-GENE-29078771
GeneID:100487466	XB-GENE-29078775
GeneID:100487470	XB-GENE-29078779
GeneID:100487471	XB-GENE-29078783
GeneID:100487482	XB-GENE-29078787
GeneID:100487499	XB-GENE-29078791
GeneID:100487510	XB-GENE-29078795
GeneID:100487522	XB-GENE-29078799
GeneID:100487533	XB-GENE-29078803
GeneID:100487535	XB-GENE-29078807
GeneID:100487577	XB-GENE-29078811
GeneID:100487578	XB-GENE-29078815
GeneID:100487580	XB-GENE-29078819
GeneID:100487625	XB-GENE-29078823
GeneID:100487628	XB-GENE-29078827
GeneID:100487632	XB-GENE-29078831
GeneID:100487636	XB-GENE-29078835
GeneID:100487637	XB-GENE-29078839
GeneID:100487642	XB-GENE-29078843
GeneID:100487643	XB-GENE-29078847
GeneID:100487648	XB-GENE-29078851
GeneID:100487666	XB-GENE-29078855
GeneID:100487667	XB-GENE-29078859
GeneID:100487689	XB-GENE-29078863
GeneID:100487695	XB-GENE-29078867
GeneID:100487726	XB-GENE-29078871
GeneID:100487727	XB-GENE-29078875
GeneID:100487732	XB-GENE-29078879
GeneID:100487738	XB-GENE-29078883
GeneID:100487746	XB-GENE-29078887
GeneID:100487748	XB-GENE-29078891
GeneID:100487768	XB-GENE-29078895
GeneID:100487769	XB-GENE-29078899
GeneID:100487773	XB-GENE-29078903
GeneID:100487777	XB-GENE-29078907
GeneID:100487782	XB-GENE-29078911
GeneID:100487784	XB-GENE-29078915
GeneID:100487792	XB-GENE-29078919
GeneID:100487805	XB-GENE-29078923
GeneID:100487808	XB-GENE-29078927
GeneID:100487812	XB-GENE-29078931
GeneID:100487834	XB-GENE-29078935
GeneID:100487836	XB-GENE-29078939
GeneID:100487846	XB-GENE-29078943
GeneID:100487852	XB-GENE-29078947
GeneID:100487855	XB-GENE-29078951
GeneID:100487882	XB-GENE-29078955
GeneID:100487884	XB-GENE-29078959
GeneID:100487889	XB-GENE-29078963
