GeneID:100101790,XB-GENE-484962
GeneID:100101791,XB-GENE-489811
GeneID:100101792,XB-GENE-490177
GeneID:100101794,XB-GENE-490675
GeneID:100101795,XB-GENE-491581
GeneID:100101796,XB-GENE-491902
GeneID:100101797,XB-GENE-492011
GeneID:100101799,XB-GENE-868100
GeneID:100101800,XB-GENE-923057
GeneID:100101801,XB-GENE-483094
GeneID:100101802,XB-GENE-854826
GeneID:100101803,XB-GENE-923435
GeneID:100101804,XB-GENE-479999
GeneID:100101805,XB-GENE-485137
GeneID:100113366,XB-GENE-1005991
GeneID:100124299,XB-GENE-940493
GeneID:100124300,XB-GENE-944821
GeneID:100124301,XB-GENE-945938
GeneID:100124302,XB-GENE-946612
GeneID:100124303,XB-GENE-947291
GeneID:100124304,XB-GENE-947514
GeneID:100124305,XB-GENE-947611
GeneID:100124306,XB-GENE-956382
GeneID:100124307,XB-GENE-962808
GeneID:100124308,XB-GENE-968743
GeneID:100124309,XB-GENE-969023
GeneID:100124310,XB-GENE-972704
GeneID:100124311,XB-GENE-982561
GeneID:100124312,XB-GENE-983144
GeneID:100124313,XB-GENE-984278
GeneID:100124314,XB-GENE-992187
GeneID:100124315,XB-GENE-993870
GeneID:100124316,XB-GENE-995770
GeneID:100124317,XB-GENE-997305
GeneID:100124318,XB-GENE-999123
GeneID:100124319,XB-GENE-1004950
GeneID:100124320,XB-GENE-1006005
GeneID:100124322,XB-GENE-950643
GeneID:100124324,XB-GENE-971108
GeneID:100124325,XB-GENE-983263
GeneID:100124326,XB-GENE-991129
GeneID:100124327,XB-GENE-994894
GeneID:100124328,XB-GENE-997314
GeneID:100124329,XB-GENE-1000415
GeneID:100124330,XB-GENE-1010811
GeneID:100124509,XB-GENE-1008732
GeneID:100124655,XB-GENE-960892
GeneID:100124656,XB-GENE-948541
GeneID:100124657,XB-GENE-5824265
GeneID:100124701,XB-GENE-1013972
GeneID:100124702,XB-GENE-959163
GeneID:100124705,XB-GENE-990139
GeneID:100124706,XB-GENE-1016830
GeneID:100124707,XB-GENE-993945
GeneID:100124708,XB-GENE-6030743
GeneID:100124710,XB-GENE-5853166
GeneID:100124711,XB-GENE-995848
GeneID:100124712,XB-GENE-969593
GeneID:100124713,XB-GENE-5793917
GeneID:100124714,XB-GENE-976188
GeneID:100124715,XB-GENE-6454385
GeneID:100124716,XB-GENE-948809
GeneID:100124717,XB-GENE-1009192
GeneID:100124719,XB-GENE-994394
GeneID:100124721,XB-GENE-994907
GeneID:100124722,XB-GENE-983603
GeneID:100124723,XB-GENE-961053
GeneID:100124724,XB-GENE-993262
GeneID:100124725,XB-GENE-1012749
GeneID:100124727,XB-GENE-5945038
GeneID:100124728,XB-GENE-1012759
GeneID:100124729,XB-GENE-969004
GeneID:100124730,XB-GENE-5755926
GeneID:100124731,XB-GENE-984534
GeneID:100124732,XB-GENE-959460
GeneID:100124734,XB-GENE-5914700
GeneID:100124735,XB-GENE-960380
GeneID:100124737,XB-GENE-994502
GeneID:100124738,XB-GENE-5794048
GeneID:100124739,XB-GENE-954085
GeneID:100124740,XB-GENE-5763797
GeneID:100124741,XB-GENE-965079
GeneID:100124742,XB-GENE-5799776
GeneID:100124743,XB-GENE-1219030
GeneID:100124744,XB-GENE-991181
GeneID:100124745,XB-GENE-983158
GeneID:100124746,XB-GENE-5868172
GeneID:100124747,XB-GENE-958909
GeneID:100124748,XB-GENE-877157
GeneID:100124749,XB-GENE-1012312
GeneID:100124750,XB-GENE-940178
GeneID:100124751,XB-GENE-981879
GeneID:100124752,XB-GENE-944850
GeneID:100124753,XB-GENE-6454376
GeneID:100124754,XB-GENE-984470
GeneID:100124755,XB-GENE-997612
GeneID:100124756,XB-GENE-995680
GeneID:100124757,XB-GENE-987892
GeneID:100124759,XB-GENE-964437
GeneID:100124760,XB-GENE-976579
GeneID:100124761,XB-GENE-996559
GeneID:100124762,XB-GENE-984859
GeneID:100124763,XB-GENE-985007
GeneID:100124764,XB-GENE-994266
GeneID:100124765,XB-GENE-5870147
GeneID:100124766,XB-GENE-983714
GeneID:100124767,XB-GENE-955835
GeneID:100124768,XB-GENE-978145
GeneID:100124769,XB-GENE-991038
GeneID:100124770,XB-GENE-947114
GeneID:100124771,XB-GENE-5729272
GeneID:100124772,NA
GeneID:100124773,XB-GENE-1000145
GeneID:100124774,XB-GENE-5954362
GeneID:100124775,NA
GeneID:100124776,XB-GENE-5823346
GeneID:100124777,XB-GENE-1011628
GeneID:100124778,XB-GENE-5826085
GeneID:100124779,XB-GENE-1013331
GeneID:100124780,XB-GENE-952903
GeneID:100124781,NA
GeneID:100124782,XB-GENE-941786
GeneID:100124783,XB-GENE-5843936
GeneID:100124784,XB-GENE-5954411
GeneID:100124785,XB-GENE-963575
GeneID:100124786,XB-GENE-977611
GeneID:100124787,XB-GENE-5810264
GeneID:100124788,XB-GENE-992544
