#NCBI-GeneID,XB-GENE-ID,GENE_SYMBOL
GeneID:100101655,XB-GENE-493469,phactr3
GeneID:100101657,XB-GENE-852715,cers5
GeneID:100101658,XB-GENE-853166,vsx1
GeneID:100101659,XB-GENE-854103,satb1
GeneID:100101660,XB-GENE-855611,mn1
GeneID:100101661,XB-GENE-868385,tspan18
GeneID:100101662,XB-GENE-876613,dach2
GeneID:100101663,XB-GENE-876649,emx1l
GeneID:100101664,XB-GENE-919773,ipo7
GeneID:100101665,XB-GENE-919827,ctnnd1
GeneID:100101666,XB-GENE-919974,sycp2l
GeneID:100101667,XB-GENE-919985,bloc1s5
GeneID:100101668,XB-GENE-920501,ventx1.1
GeneID:100101669,XB-GENE-921537,cd276
GeneID:100101670,XB-GENE-921780,gusb
GeneID:100101671,XB-GENE-921978,sds
GeneID:100101672,XB-GENE-922302,vcan
GeneID:100101673,XB-GENE-922526,vps11
GeneID:100101674,XB-GENE-922547,tpp2
GeneID:100101675,XB-GENE-923326,myom1
GeneID:100101677,XB-GENE-6258723,crebbp
GeneID:100101678,XB-GENE-939822,c2h2orf49
GeneID:100101679,XB-GENE-478094,nr1d1
GeneID:100101680,XB-GENE-478752,mapkap1
GeneID:100101681,XB-GENE-480018,nr2f1
GeneID:100101682,XB-GENE-480893,nr4a2
GeneID:100101683,XB-GENE-484243,mydgf
GeneID:100101684,XB-GENE-486172,esrrg
GeneID:100101685,XB-GENE-490704,cnksr2
GeneID:100101686,XB-GENE-493689,magi2
GeneID:100101687,XB-GENE-853572,edil3
GeneID:100101688,XB-GENE-854457,chrnb2
GeneID:100101689,XB-GENE-862914,ctcf
GeneID:100101690,XB-GENE-876787,ilrun
GeneID:100101691,XB-GENE-921479,cks1b
GeneID:100101692,XB-GENE-478656,ankrd6
GeneID:100101693,XB-GENE-487404,arnt2
GeneID:100101694,XB-GENE-494512,lrp4
GeneID:100101695,XB-GENE-489076,dynlrb1
GeneID:100101696,XB-GENE-478972,ppt2
GeneID:100101697,XB-GENE-479210,dll1
GeneID:100101698,XB-GENE-479505,rln3
GeneID:100101699,XB-GENE-479837,klf13
GeneID:100101700,XB-GENE-480304,sox10
GeneID:100101701,XB-GENE-480688,nrp1
GeneID:100101702,XB-GENE-480717,six1
GeneID:100101703,XB-GENE-480993,shox2
GeneID:100101704,XB-GENE-481426,hand2
GeneID:100101705,XB-GENE-483146,six6
GeneID:100101707,XB-GENE-483812,baiap2l1
GeneID:100101708,XB-GENE-482482,lhx1
GeneID:100101709,XB-GENE-482866,prl.1
GeneID:100101710,XB-GENE-484153,pcdh20
GeneID:100101711,XB-GENE-484543,grem1
GeneID:100101712,XB-GENE-484646,foxf2
GeneID:100101713,XB-GENE-484669,pbx2
GeneID:100101715,XB-GENE-485370,sox14
GeneID:100101716,XB-GENE-485545,dcn
GeneID:100101717,XB-GENE-485735,nrp2
GeneID:100101718,XB-GENE-485905,ins
GeneID:100101719,XB-GENE-485975,tcf7l2
GeneID:100101720,XB-GENE-487299,igfbp2
GeneID:100101721,XB-GENE-487536,nphp4.2
GeneID:100101723,XB-GENE-488606,efnb2
GeneID:100101724,XB-GENE-489160,smn1
